Time,Power
0.0,419.9999999999804
1.0,299.99999999999363
2.0,300.0000000000469
3.0,480.00000000000045
4.0,179.99999999995353
5.0,180.00000000000682
6.0,420.00000000003365
7.0,299.99999999999363
8.0,299.99999999999363
9.0,599.9999999999873
10.0,299.99999999999363
11.0,299.99999999999363
12.0,540.0000000000205
13.0,299.99999999999363
14.0,299.99999999999363
15.0,480.00000000000045
16.0,119.99999999998678
17.0,120.00000000004007
18.0,480.00000000000045
19.0,359.9999999999603
20.0,300.0000000000469
21.0,480.00000000000045
22.0,119.99999999998678
23.0,180.00000000000682
24.0,299.99999999999363
25.0,119.99999999998678
26.0,119.99999999998678
27.0,299.99999999999363
28.0,180.00000000000682
29.0,120.00000000004007
30.0,299.99999999999363
31.0,119.99999999998678
32.0,180.00000000000682
33.0,299.99999999999363
34.0,119.99999999998678
35.0,180.00000000000682
36.0,299.99999999999363
37.0,119.99999999998678
38.0,120.00000000004007
39.0,299.99999999999363
40.0,180.00000000000682
41.0,119.99999999998678
42.0,360.00000000001364
43.0,179.99999999995353
44.0,120.00000000004007
45.0,359.9999999999603
46.0,120.00000000004007
47.0,180.00000000000682
48.0,299.99999999999363
49.0,119.99999999998678
50.0,119.99999999998678
51.0,299.99999999999363
52.0,180.00000000000682
53.0,119.99999999998678
54.0,300.0000000000469
55.0,179.99999999995353
56.0,120.00000000004007
57.0,299.99999999999363
58.0,119.99999999998678
59.0,180.00000000000682
60.0,299.99999999999363
61.0,119.99999999998678
62.0,180.00000000000682
63.0,240.00000000002686
64.0,180.00000000000682
65.0,119.99999999998678
66.0,360.00000000001364
67.0,179.99999999995353
68.0,180.00000000000682
69.0,299.99999999999363
70.0,120.00000000004007
71.0,180.00000000000682
72.0,419.9999999999804
73.0,299.99999999999363
74.0,299.99999999999363
75.0,419.9999999999804
76.0,180.00000000000682
77.0,120.00000000004007
78.0,299.99999999999363
79.0,119.99999999998678
80.0,180.00000000000682
81.0,299.99999999999363
82.0,119.99999999998678
83.0,180.00000000000682
84.0,299.99999999999363
85.0,119.99999999998678
86.0,120.00000000004007
87.0,480.00000000000045
88.0,359.9999999999603
89.0,300.0000000000469
90.0,480.00000000000045
91.0,119.99999999998678
92.0,180.00000000000682
93.0,299.99999999999363
94.0,119.99999999998678
95.0,119.99999999998678
96.0,480.00000000000045
97.0,299.99999999999363
98.0,240.00000000002686
99.0,599.9999999999873
100.0,299.99999999999363
101.0,299.99999999999363
102.0,420.00000000003365
103.0,180.00000000000682
104.0,119.99999999998678
105.0,480.00000000000045
106.0,299.99999999999363
107.0,360.00000000001364
108.0,599.9999999999873
109.0,299.99999999999363
110.0,299.99999999999363
111.0,599.9999999999873
112.0,240.00000000002686
113.0,299.99999999999363
114.0,599.9999999999873
115.0,299.99999999999363
116.0,300.0000000000469
117.0,599.9999999999873
118.0,299.99999999999363
119.0,360.00000000001364
120.0,599.9999999999873
121.0,299.99999999999363
122.0,299.99999999999363
123.0,419.9999999999804
124.0,180.00000000000682
125.0,120.00000000004007
126.0,419.9999999999804
127.0,299.99999999999363
128.0,299.99999999999363
129.0,599.9999999999873
130.0,300.0000000000469
131.0,299.99999999999363
132.0,480.00000000000045
133.0,119.99999999998678
134.0,180.00000000000682
135.0,360.00000000001364
136.0,119.99999999998678
137.0,180.00000000000682
138.0,299.99999999999363
139.0,119.99999999998678
140.0,119.99999999998678
141.0,480.00000000000045
142.0,299.99999999999363
143.0,240.00000000002686
144.0,480.00000000000045
145.0,119.99999999998678
146.0,180.00000000000682
147.0,299.99999999999363
148.0,119.99999999998678
149.0,120.00000000004007
150.0,299.99999999999363
151.0,180.00000000000682
152.0,119.99999999998678
153.0,360.00000000001364
154.0,179.99999999995353
155.0,120.00000000004007
156.0,359.9999999999603
157.0,120.00000000004007
158.0,180.00000000000682
159.0,299.99999999999363
160.0,119.99999999998678
161.0,119.99999999998678
162.0,299.99999999999363
163.0,180.00000000000682
164.0,119.99999999998678
165.0,300.0000000000469
166.0,179.99999999995353
167.0,120.00000000004007
168.0,299.99999999999363
169.0,119.99999999998678
170.0,180.00000000000682
171.0,299.99999999999363
172.0,119.99999999998678
173.0,180.00000000000682
174.0,240.00000000002686
175.0,180.00000000000682
176.0,119.99999999998678
177.0,360.00000000001364
178.0,179.99999999995353
179.0,180.00000000000682
180.0,299.99999999999363
181.0,120.00000000004007
182.0,180.00000000000682
183.0,299.99999999999363
184.0,119.99999999998678
185.0,180.00000000000682
186.0,239.99999999997357
187.0,180.00000000000682
188.0,119.99999999998678
189.0,299.99999999999363
190.0,180.00000000000682
191.0,120.00000000004007
192.0,179.99999999995353
193.0,0.0
194.0,0.0
195.0,120.00000000004007
196.0,119.99999999998678
197.0,180.00000000000682
198.0,299.99999999999363
199.0,119.99999999998678
200.0,180.00000000000682
201.0,299.99999999999363
202.0,119.99999999998678
203.0,120.00000000004007
204.0,299.99999999999363
205.0,180.00000000000682
206.0,119.99999999998678
207.0,360.00000000001364
208.0,119.99999999998678
209.0,180.00000000000682
210.0,480.00000000000045
211.0,299.99999999999363
212.0,299.99999999999363
213.0,419.9999999999804
214.0,180.00000000000682
215.0,120.00000000004007
216.0,419.9999999999804
217.0,299.99999999999363
218.0,299.99999999999363
219.0,599.9999999999873
220.0,299.99999999999363
221.0,300.0000000000469
222.0,599.9999999999873
223.0,299.99999999999363
224.0,360.00000000001364
225.0,480.00000000000045
226.0,119.99999999998678
227.0,119.99999999998678
228.0,480.00000000000045
229.0,299.99999999999363
230.0,299.99999999999363
231.0,540.0000000000205
232.0,299.99999999999363
233.0,299.99999999999363
234.0,420.00000000003365
235.0,180.00000000000682
236.0,119.99999999998678
237.0,480.00000000000045
238.0,299.99999999999363
239.0,360.00000000001364
240.0,480.00000000000045
241.0,119.99999999998678
242.0,180.00000000000682
243.0,239.99999999997357
244.0,180.00000000000682
245.0,119.99999999998678
246.0,299.99999999999363
247.0,180.00000000000682
248.0,120.00000000004007
249.0,419.9999999999804
250.0,299.99999999999363
251.0,299.99999999999363
252.0,480.00000000000045
253.0,119.99999999998678
254.0,120.00000000004007
255.0,299.99999999999363
256.0,180.00000000000682
257.0,119.99999999998678
258.0,360.00000000001364
259.0,119.99999999998678
260.0,180.00000000000682
261.0,360.00000000001364
262.0,119.99999999998678
263.0,180.00000000000682
264.0,419.9999999999804
265.0,299.99999999999363
266.0,299.99999999999363
267.0,420.00000000003365
268.0,119.99999999998678
269.0,180.00000000000682
270.0,299.99999999999363
271.0,119.99999999998678
272.0,180.00000000000682
273.0,299.99999999999363
274.0,119.99999999998678
275.0,120.00000000004007
276.0,299.99999999999363
277.0,180.00000000000682
278.0,119.99999999998678
