Dia,SOH_est
0.0,1.0
1.0,0.9973925050442549
2.0,0.9971459245832719
3.0,0.9968554754095188
4.0,0.996648276694897
5.0,0.9962122118392812
6.0,0.9960328859195546
7.0,0.9953865328575742
8.0,0.9945231998620913
9.0,0.9940948054813609
10.0,0.9935032815791272
11.0,0.992943557441225
12.0,0.9924369233320297
13.0,0.9922259604457754
14.0,0.991673975961234
15.0,0.9913291414976787
16.0,0.9910203437557653
17.0,0.9903561776534578
18.0,0.9898339374484137
19.0,0.9893032482613404
20.0,0.9887845533524826
21.0,0.9885113641733473
22.0,0.9881824041164881
23.0,0.9877551964059785
24.0,0.9876528289048235
25.0,0.9872146310579742
26.0,0.9870863893953744
27.0,0.9866118223077017
28.0,0.9862356542231201
29.0,0.9858979400218724
30.0,0.9854874786471267
31.0,0.9850840954235468
32.0,0.9846638246193294
33.0,0.9844449123217917
34.0,0.9840481946454991
35.0,0.9836432570399694
36.0,0.9832142870414958
37.0,0.9828150160257291
38.0,0.9824306988777495
39.0,0.9821637175212546
40.0,0.9819666523232443
41.0,0.9818383395624517
42.0,0.9814189698897441
43.0,0.9810051622822847
44.0,0.9806614544878756
45.0,0.9803724569491987
46.0,0.9799876808405625
47.0,0.979803851888783
48.0,0.9794768791209912
49.0,0.9792931547897383
50.0,0.9791432329797369
51.0,0.9787538498071092
52.0,0.9783445577671234
53.0,0.9779331198743489
54.0,0.9775217743705676
55.0,0.9773239814576079
56.0,0.9769627666815811
57.0,0.9766238005711334
58.0,0.9763766451855601
59.0,0.9760556837616103
60.0,0.9757332424254854
61.0,0.9754148751756783
62.0,0.9751051498468238
63.0,0.9749818920716741
64.0,0.9746807293719505
65.0,0.9744267261602072
66.0,0.9740957934682877
67.0,0.9737690507613358
68.0,0.9734413705878269
69.0,0.9731180291286142
70.0,0.9727934094785381
71.0,0.9724737619919104
72.0,0.9721761090587443
73.0,0.9718822227954741
74.0,0.9717727537492835
75.0,0.9716645597140156
76.0,0.9715026494238292
77.0,0.9712203368933169
78.0,0.9710179944003864
79.0,0.9707202858752513
80.0,0.9704399419237469
81.0,0.9702235764425078
82.0,0.9699450573082836
83.0,0.9696964103448102
84.0,0.9694089418776324
85.0,0.969260165930108
86.0,0.9691039574683582
87.0,0.9688205110443866
88.0,0.9685718684886162
89.0,0.9682874569925348
90.0,0.9680286070399974
91.0,0.967747754508259
92.0,0.9676035893130146
93.0,0.9674458212328988
94.0,0.9671889767584586
95.0,0.9669833809362629
96.0,0.9667182177528441
97.0,0.9665082493682224
98.0,0.966310364630999
99.0,0.9660662581167382
100.0,0.9658200978302987
101.0,0.9656510532519316
102.0,0.9654284674109097
103.0,0.9651848918033135
104.0,0.964961520251388
105.0,0.9647723342575053
106.0,0.9646407034515032
107.0,0.9644281849331877
108.0,0.9642167027549825
109.0,0.9640979794518585
110.0,0.9638579831466438
111.0,0.9636082601261649
112.0,0.9634237678316517
113.0,0.96317701544675
114.0,0.9629783554687625
115.0,0.9627421916473498
116.0,0.9625283772949932
117.0,0.9623117019913648
118.0,0.962137344574249
119.0,0.9620263766239454
120.0,0.96181692710526
121.0,0.9616091206256665
122.0,0.9614118845511491
123.0,0.961226206907603
124.0,0.9610142633372016
125.0,0.960968374592605
126.0,0.9607687440782275
127.0,0.9605601460597952
128.0,0.9603564658450461
129.0,0.960158821630669
130.0,0.9599554114647175
131.0,0.9597613539528819
132.0,0.9595435313922624
133.0,0.9593415406171414
134.0,0.9591650263017522
135.0,0.9590623449435918
136.0,0.9589562468948425
137.0,0.9588429769968586
138.0,0.9586545181531064
139.0,0.9584555192560255
140.0,0.9582558658532162
141.0,0.9580539737782412
142.0,0.9578600343564164
143.0,0.9576705456416011
144.0,0.9575036638753598
145.0,0.9573329778833258
146.0,0.9571417585721989
147.0,0.9569542641118134
148.0,0.9567599362912325
149.0,0.9565838161237871
150.0,0.9563928491668056
151.0,0.9561971634441352
152.0,0.9560129596819247
153.0,0.9558160884587735
154.0,0.955718956536428
155.0,0.9555341878395271
156.0,0.9553739660164855
157.0,0.9551934999184778
158.0,0.9550011648586573
159.0,0.9549175407018129
160.0,0.954738618351874
161.0,0.9545402099836354
162.0,0.9543418238435031
163.0,0.9542785237075079
164.0,0.9540971398283128
165.0,0.9538973163191674
166.0,0.9537101615483502
167.0,0.9535111897850472
168.0,0.9533143892139768
169.0,0.9531152102929089
170.0,0.9529250062655416
171.0,0.9527598381450938
172.0,0.9526289610841056
173.0,0.9524683547568291
174.0,0.9523956512498963
175.0,0.9522291275529179
176.0,0.9520427994075918
177.0,0.9518674807992401
178.0,0.9516865124885173
179.0,0.9515058161151587
180.0,0.9513278374773902
181.0,0.9511705304461587
182.0,0.9510103439945983
183.0,0.9508859102111464
184.0,0.9507309346695626
185.0,0.9505764533653749
186.0,0.9504265095080444
187.0,0.9502792113898895
188.0,0.9501486177553656
189.0,0.9500737399500961
190.0,0.9499816780435079
191.0,0.9498080350400427
192.0,0.9496479740219722
193.0,0.9495000732172553
194.0,0.9493560441942309
195.0,0.9491981148913379
196.0,0.9490404249404663
197.0,0.9488789743582722
198.0,0.948726242826778
199.0,0.9485740483775724
200.0,0.9485086870823399
201.0,0.9483756474283062
202.0,0.9482468237261291
203.0,0.9482128274503708
204.0,0.9481335024199379
205.0,0.9480334147606452
206.0,0.9479006400705176
207.0,0.9477702036775364
208.0,0.9476393061718887
209.0,0.9475121715030093
210.0,0.9473904037248492
211.0,0.9472572651667145
212.0,0.9471204233669206
213.0,0.9470156720478711
214.0,0.9468718325090663
215.0,0.946769241289475
216.0,0.946672716799835
217.0,0.9466129518465124
218.0,0.9465472989756241
219.0,0.9464163500432858
220.0,0.946303074561251
221.0,0.9462475880321948
222.0,0.9461984449220888
223.0,0.9461548128459016
224.0,0.9460903521723374
225.0,0.9459970887616104
226.0,0.9459175710105602
227.0,0.9458099891175045
228.0,0.9457078466651979
229.0,0.9456736247817854
230.0,0.9456154944926605
231.0,0.945577302014059
232.0,0.945513789374723
233.0,0.9454500036880232
234.0,0.9454069729622518
235.0,0.9453201962531086
236.0,0.9452597538925266
237.0,0.9451635562101779
238.0,0.9451247422470129
239.0,0.9450564061354708
240.0,0.9450202083952567
241.0,0.9449821877525625
242.0,0.9448876652914896
243.0,0.9448350468288391
244.0,0.9447577680881603
245.0,0.9446909421656148
246.0,0.9446416704662999
247.0,0.9445853908474884
248.0,0.9445074471303827
249.0,0.9444183601102298
250.0,0.9443697290528849
251.0,0.944326896788387
252.0,0.9442841822779393
253.0,0.9442369222331788
254.0,0.9441810037163271
255.0,0.944137242380205
256.0,0.9440708610014085
257.0,0.9440315264420938
258.0,0.9439916238499784
259.0,0.9439609517723907
260.0,0.9439261392307736
261.0,0.9438727503590169
262.0,0.9438352206783863
263.0,0.9437868820450313
264.0,0.9437556840195915
265.0,0.9437223964872428
266.0,0.9436907035353792
267.0,0.9436566317393921
268.0,0.943631723581504
269.0,0.9435986288881394
270.0,0.9435568933827703
271.0,0.9435188561057044
272.0,0.9434776542789233
273.0,0.9434396732592686
274.0,0.943374946262482
275.0,0.9433223135413998
276.0,0.9432741784665353
277.0,0.9432283120875511
278.0,0.9431814084491889
279.0,0.9431506109780624
280.0,0.9431310847899164
281.0,0.9430654651721255
282.0,0.9430086796813003
283.0,0.9429624414615262
284.0,0.9429195804576911
285.0,0.9428665950495907
286.0,0.9428453260980545
287.0,0.9428010287988039
288.0,0.9427620058792866
289.0,0.9427299902891878
290.0,0.9427011537597535
291.0,0.9426755931027182
292.0,0.9426510030825
293.0,0.9426176231042149
294.0,0.9425826664195442
295.0,0.942552286819771
296.0,0.9425409243981079
297.0,0.9425107442947505
298.0,0.9424784109790743
299.0,0.942458147409375
300.0,0.9424354223018557
301.0,0.9423875885358693
302.0,0.9423277196785597
303.0,0.9422671502027932
304.0,0.9422280303838152
305.0,0.9421910817930014
306.0,0.942175237722148
307.0,0.9421332658928258
308.0,0.9421001115230246
309.0,0.9420674396676617
310.0,0.942049201940203
311.0,0.9420342191873974
312.0,0.9419888582882248
313.0,0.9419642651618729
314.0,0.9419332951156807
315.0,0.9419073896252178
316.0,0.9418827899072841
317.0,0.941861067330837
318.0,0.9418492639488314
319.0,0.9418331815480633
320.0,0.9418165984211359
321.0,0.9417975708681829
322.0,0.9417856212657701
323.0,0.9417744852040212
324.0,0.9417629358974794
325.0,0.9417510584995548
326.0,0.9417342499287165
327.0,0.9417154316970118
328.0,0.9416976502857772
329.0,0.9416827586178875
330.0,0.9416719341404253
331.0,0.9416610374722117
332.0,0.9416501142638752
333.0,0.9416391240211048
334.0,0.9416279398053498
335.0,0.9416165517289208
336.0,0.9416056288536696
337.0,0.9415948296154426
338.0,0.9415839596360975
339.0,0.9415639892183408
340.0,0.941539528335715
341.0,0.9415009607412387
342.0,0.9414770751184253
343.0,0.9414651727560025
344.0,0.9414276298121423
345.0,0.9413848415865085
346.0,0.941364822131471
347.0,0.9413382689138066
348.0,0.9413089678848574
349.0,0.9412943088069062
350.0,0.9412692712878408
351.0,0.9412476672112247
352.0,0.9412095084336141
353.0,0.9411207227815793
354.0,0.9410414987022484
355.0,0.9410180794337701
356.0,0.9409621825178367
357.0,0.9409273871653615
358.0,0.9408595567770557
359.0,0.9408445591444674
360.0,0.9407633775277537
361.0,0.9407378670434484
362.0,0.940708460684484
363.0,0.9406376631033763
364.0,0.9405797354878259
365.0,0.9404870363070631
366.0,0.9404628408515942
367.0,0.9404388091301606
368.0,0.9403593257691332
369.0,0.9402616284768895
370.0,0.9401735352128944
371.0,0.9400785667588611
372.0,0.9400336193879931
373.0,0.9399746287699923
374.0,0.9398828039438692
375.0,0.9398641337413745
376.0,0.9397443920073807
377.0,0.9396280941012325
378.0,0.9395338288579963
379.0,0.9394274010672141
380.0,0.9393229756335851
381.0,0.9392263488091849
382.0,0.9391181116921538
383.0,0.9390100944627907
384.0,0.9389896864579925
385.0,0.9389252012610274
386.0,0.9388611093949271
387.0,0.9387684780138926
388.0,0.938751230383498
389.0,0.9386412812060426
390.0,0.9385441648818633
391.0,0.9384506998195893
392.0,0.9383570342333087
393.0,0.9382412920409906
394.0,0.9381275092365386
395.0,0.9380144129548726
396.0,0.9379040344461633
397.0,0.937783991300333
