Dia,SOH_est
0.0,1.0
1.0,0.996774468500382
2.0,0.9962223106353114
3.0,0.995689189198929
4.0,0.9952990617064773
5.0,0.9949155545020331
6.0,0.9940396229580444
7.0,0.9930379014347654
8.0,0.9920598631193865
9.0,0.991507486852997
10.0,0.9912315958995378
11.0,0.9907126427579083
12.0,0.9900616733307572
13.0,0.9894258593611015
14.0,0.9887900453914458
15.0,0.9881481629511493
16.0,0.9875631912803635
17.0,0.986924672276296
18.0,0.9864531106839697
19.0,0.985990381846956
20.0,0.9855331550378146
21.0,0.9850938888020365
22.0,0.9846411279304044
23.0,0.9841922643527464
24.0,0.9837541769223529
25.0,0.9833244904963372
26.0,0.9829742463860123
27.0,0.9825641215773474
28.0,0.9821442519881214
29.0,0.9817397028466222
30.0,0.981336169897421
31.0,0.981115260217028
32.0,0.9807455928418058
33.0,0.9803640640386967
34.0,0.9800214272827168
35.0,0.979594507449574
36.0,0.9791844450077142
37.0,0.9788012521511982
38.0,0.9783908905386101
39.0,0.9780486752738672
40.0,0.9776415389313801
41.0,0.9772324989396133
42.0,0.9768239166412329
43.0,0.9764763090684736
44.0,0.9761498725067951
45.0,0.9757445403871514
46.0,0.9753345369924914
47.0,0.974992004727395
48.0,0.9746513966885081
49.0,0.974240707023221
50.0,0.9741526921136899
51.0,0.9737329145615644
52.0,0.9733090139496916
53.0,0.9728976009284788
54.0,0.9724861879072659
55.0,0.9720769537137001
56.0,0.9716654392187004
57.0,0.9712538800427901
58.0,0.9709094703162898
59.0,0.9705774888255589
60.0,0.9705080037644322
61.0,0.9703446598583606
62.0,0.9700491579691616
63.0,0.9697373996312467
64.0,0.9694261548973188
65.0,0.9691055359655834
66.0,0.9687784765340962
67.0,0.9684546321786559
68.0,0.9681302768757082
69.0,0.9677887366996845
70.0,0.967458611880381
71.0,0.9671196342004509
72.0,0.966805383365136
73.0,0.9665125088585456
74.0,0.9662235050535088
75.0,0.965937754470457
76.0,0.9656647870358918
77.0,0.96539068502524
78.0,0.9651128799996391
79.0,0.9649130473148695
80.0,0.9646385569535557
81.0,0.9643685660916699
82.0,0.9640942584950828
83.0,0.9638198899048649
84.0,0.9636287074545083
85.0,0.96335010117309
86.0,0.9630710685015785
87.0,0.9627954246310136
88.0,0.9626060859062009
89.0,0.9624257688972337
90.0,0.9621367462834038
91.0,0.9618818809897247
92.0,0.9616077340949801
93.0,0.9613327074302628
94.0,0.9610708214684872
95.0,0.9608075027224051
96.0,0.9605461089382407
97.0,0.960331340854091
98.0,0.9600985812856668
99.0,0.9598916060285826
